timestamp,ear,yaw,pitch,blink_rate,score,status
1775188628.1,0.268,0.001,0.137,0,100,ALERT
1775188629.1,0.255,0.002,0.139,0,85,ALERT
1775188630.13,0.172,0.002,0.136,0,60,DROWSY
1775188631.13,0.224,0.002,0.136,2,85,ALERT
1775188632.14,0.079,0.006,0.135,4,60,DROWSY
1775188633.16,0.252,0.001,0.142,6,85,ALERT
1775188634.21,0.3,0.005,0.153,8,100,ALERT
1775188635.21,0.305,0.006,0.154,8,100,ALERT
1775188636.23,0.225,-0.015,0.046,10,85,ALERT
1775188637.25,0.28,-0.009,0.046,12,100,ALERT
1775188638.27,0.281,-0.007,0.05,12,100,ALERT
1775188639.27,0.233,-0.006,0.049,12,85,ALERT
1775188640.27,0.37,0.006,0.067,14,100,ALERT
1775188641.28,0.207,-0.01,0.029,14,60,DROWSY
1775188642.29,0.295,-0.013,0.029,18,90,ALERT
1775188643.3,0.257,-0.013,0.027,24,90,ALERT
1775188644.33,0.265,-0.016,0.023,28,80,ALERT
1775188645.36,0.344,-0.02,0.07,32,80,ALERT
1775188646.38,0.364,-0.022,0.171,32,80,ALERT
1775188647.42,0.377,-0.005,0.157,34,80,ALERT
1775188648.43,0.373,0.002,0.168,34,80,ALERT
1775188649.45,0.297,0.003,0.16,36,80,ALERT
1775188650.48,0.297,0.002,0.166,38,80,ALERT
1775188651.51,0.152,0.003,0.159,38,40,DROWSY
1775188652.52,0.166,-0.001,0.157,38,40,DROWSY
1775188653.54,0.404,-0.003,0.176,40,80,ALERT
1775188654.57,0.288,0.003,0.176,42,80,ALERT
1775188655.6,0.273,-0.002,0.168,42,80,ALERT
1775188656.63,0.259,0.001,0.178,42,80,ALERT
1775188657.66,0.297,-0.001,0.171,42,80,ALERT
